sample	samples	_study	TCGA_GTEX_main_category	_sample_type	_primary_site	ACTB	ACTG1	AKT1	AKT2	AKT3	ATP1A1	ATP1A2	ATP1A3	ATP1A4	ATP1B1	ATP1B2	ATP1B3	ATP1B4	ATP2A1	ATP2A2	ATP2A3	BAD	BMP4	CASP9	CCND1	CREBBP	CTNNB1	DIO1	DIO2	DIO3	EP300	ESR1	FOXO1	FXYD2	GATA4	GSK3B	HDAC1	HDAC2	HDAC3	HIF1A	HRAS	ITGAV	ITGB3	KAT2A	KAT2B	KRAS	MAP2K1	MAP2K2	MAPK1	MAPK3	MDM2	MED1	MED12	MED12L	MED13	MED13L	MED14	MED16	MED17	MED24	MED27	MED30	MED4	MTOR	MYC	MYH6	MYH7	NCOA1	NCOA2	NCOA3	NCOR1	NOTCH1	NOTCH2	NOTCH3	NOTCH4	NRAS	PDPK1	PFKFB2	PFKL	PFKM	PFKP	PIK3CA	PIK3CB	PIK3CD	PIK3R1	PIK3R2	PIK3R3	PLCB1	PLCB2	PLCB3	PLCB4	PLCD1	PLCD3	PLCD4	PLCE1	PLCG1	PLCG2	PLCZ1	PLN	PRKACA	PRKACB	PRKACG	PRKCA	PRKCB	PRKCG	RAF1	RCAN1	RCAN2	RHEB	RXRA	RXRB	RXRG	SIN3A	SLC16A10	SLC16A2	SLC2A1	SLC9A1	SLCO1C1	SRC	STAT1	TBC1D4	THRA	THRB	TP53	TSC2	WNT4
GTEX-OHPL-2626-SM-2HMJA	GTEX-OHPL-2626-SM-2HMJA	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	17.28	16.62	12.39	12.05	10.82	15.24	9.705	6.936	2.274	11.38	7.638	12.18	0.000	5.871	13.46	12.15	9.882	8.354	8.538	9.690	12.09	13.92	4.732	10.59	10.53	11.97	8.019	12.41	5.313	2.612	10.43	11.62	11.49	11.08	13.02	9.864	11.87	9.723	11.89	10.33	10.39	11.31	11.92	12.29	11.65	11.70	10.44	11.36	5.925	11.11	12.18	10.63	11.17	9.954	11.51	9.477	8.248	10.34	11.48	12.54	5.398	9.480	11.87	10.71	11.73	11.91	11.78	12.68	13.36	11.43	10.25	11.25	10.53	12.57	11.64	11.25	10.76	9.340	10.52	13.68	0.000	0.000	7.647	10.56	10.70	8.558	10.48	10.07	7.420	10.12	12.32	11.13	0.000	9.455	12.25	10.32	2.274	10.34	10.34	3.489	12.21	10.30	9.989	11.36	11.84	11.18	5.594	11.57	6.859	10.47	10.47	10.96	5.669	10.13	12.38	10.53	11.52	9.568	11.43	11.80	4.732
GTEX-YEC3-0826-SM-5P9JF	GTEX-YEC3-0826-SM-5P9JF	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	17.19	16.16	12.50	13.51	10.86	15.54	10.22	3.524	2.170	13.99	7.929	12.07	0.000	6.429	13.16	11.33	11.02	7.361	10.37	12.18	11.87	13.56	14.00	13.11	7.028	11.74	8.193	10.98	5.610	1.116	10.52	12.39	10.76	10.95	12.15	10.72	11.87	12.15	12.34	11.26	10.42	10.28	12.12	12.03	11.45	11.24	9.296	11.36	6.412	10.80	11.61	11.50	11.24	9.919	11.72	8.891	7.887	10.33	11.41	10.50	3.663	4.799	10.34	10.55	11.41	11.68	11.94	11.55	13.58	12.96	9.923	11.15	12.23	13.11	11.57	11.57	10.08	10.62	9.781	11.91	0.000	0.000	8.048	9.083	11.09	11.51	10.24	9.556	9.210	10.46	13.19	10.25	0.000	8.580	11.77	9.558	0.000	9.463	6.487	2.170	12.63	11.61	10.77	11.46	12.20	11.96	6.197	11.25	6.487	10.48	9.333	10.84	7.631	10.46	10.71	11.52	11.16	8.436	9.933	13.08	6.775
GTEX-WOFL-0726-SM-3MJG4	GTEX-WOFL-0726-SM-3MJG4	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	17.14	16.10	12.70	13.21	11.58	14.99	10.29	3.294	0.000	11.11	7.002	12.29	3.142	8.041	13.45	9.730	10.41	10.21	10.69	11.43	11.79	13.48	9.146	10.95	8.836	11.44	8.098	11.09	6.119	1.977	10.52	12.01	10.66	10.98	12.97	10.09	12.04	10.73	13.51	10.53	10.37	10.84	12.06	11.85	11.74	11.20	9.424	11.60	5.597	10.81	11.55	10.49	10.51	9.970	11.97	8.739	7.627	10.45	11.58	11.70	5.326	8.550	10.85	10.53	11.09	11.92	12.17	11.97	14.60	12.68	10.05	10.62	11.30	12.90	11.47	11.95	10.26	9.827	9.405	11.47	0.000	2.807	9.365	8.508	11.22	9.886	10.86	9.596	8.094	11.55	13.27	10.12	0.9844	9.769	11.75	9.563	0.000	9.212	6.776	0.9844	12.28	11.67	10.41	11.42	11.71	12.09	5.670	10.89	6.750	10.27	9.045	10.33	7.056	10.57	11.11	11.43	11.40	8.432	10.10	12.95	5.802
GTEX-11GSP-0126-SM-5A5KU	GTEX-11GSP-0126-SM-5A5KU	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	17.11	16.05	12.75	13.44	11.77	13.94	12.70	3.623	3.767	12.32	9.574	11.83	7.660	13.97	13.65	11.63	10.38	9.523	10.26	11.37	12.32	13.58	8.683	11.47	8.369	11.92	9.998	11.40	6.081	2.592	10.52	11.64	11.11	10.85	12.35	9.465	12.30	11.13	12.61	10.78	10.68	10.85	11.83	12.10	12.04	11.18	9.597	11.64	7.177	11.44	12.25	11.11	11.08	9.838	11.63	9.007	8.324	10.29	10.83	11.62	8.231	14.56	11.60	11.13	11.36	11.97	11.65	12.84	13.99	11.07	9.562	11.19	11.65	12.68	12.54	12.29	10.66	10.06	10.03	12.24	0.000	0.000	9.426	10.33	10.83	10.81	10.54	11.14	9.105	10.53	13.06	11.37	2.255	11.74	12.23	9.750	0.000	8.926	8.037	5.020	12.54	11.09	12.14	11.34	11.63	11.88	6.556	11.58	6.702	10.77	9.578	10.26	5.879	11.08	11.94	11.43	11.66	10.07	9.875	12.53	5.784
GTEX-YEC3-0826-SM-4WWFP	GTEX-YEC3-0826-SM-4WWFP	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	17.08	16.33	12.49	13.54	10.85	15.90	9.188	3.049	1.622	14.18	7.359	12.23	0.000	6.303	13.32	11.22	11.08	7.547	10.29	12.16	11.90	13.58	14.42	13.19	5.699	11.87	7.889	10.91	5.601	2.367	10.59	12.46	10.83	10.85	12.21	10.68	12.16	12.42	12.10	11.29	10.53	10.24	12.11	12.23	11.43	11.13	9.407	11.39	6.764	10.83	11.60	11.44	11.37	9.969	11.66	9.011	7.969	10.46	11.35	9.969	6.943	8.167	10.17	10.58	11.38	11.90	11.86	11.68	13.44	12.84	9.993	11.22	12.31	13.02	11.55	11.73	9.972	10.75	9.552	11.61	4.358	0.000	8.010	8.523	11.01	11.51	10.08	9.221	9.118	10.23	13.07	10.09	0.000	7.869	11.83	9.603	1.028	9.595	5.640	1.028	12.60	11.15	10.72	11.57	12.27	11.83	5.514	11.32	6.595	10.45	9.821	10.95	7.626	10.37	10.78	11.54	11.03	8.275	9.994	12.98	7.089
GTEX-ZLFU-0626-SM-4WWBO	GTEX-ZLFU-0626-SM-4WWBO	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	17.07	15.65	12.60	13.55	12.11	15.66	7.873	3.524	3.001	12.65	6.506	11.33	1.116	6.865	12.95	10.86	10.64	8.632	10.68	10.62	12.51	13.03	11.40	11.77	8.105	12.15	8.641	11.69	6.129	2.171	10.45	11.92	10.60	11.05	11.99	9.717	11.84	10.15	12.58	11.23	10.27	9.999	12.02	11.65	11.22	11.21	9.685	11.69	5.763	11.39	12.39	11.88	11.16	9.961	11.79	8.912	8.466	10.05	11.51	11.46	7.126	6.794	10.91	10.76	11.22	11.77	11.65	12.22	12.11	12.01	10.00	11.37	13.01	13.08	11.09	10.76	10.34	10.77	9.812	11.48	0.000	0.000	7.210	8.262	10.39	10.52	9.583	9.324	7.565	11.40	13.74	9.520	0.000	8.017	11.21	9.385	0.000	8.336	6.664	1.738	12.67	10.15	9.437	11.15	12.50	12.46	4.460	11.72	7.997	9.721	9.678	9.998	6.220	10.66	10.72	12.18	11.19	8.994	9.924	13.26	6.265
GTEX-WEY5-0526-SM-3GIKZ	GTEX-WEY5-0526-SM-3GIKZ	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	17.05	15.89	11.97	12.18	11.18	14.94	10.88	3.146	2.301	12.91	7.351	12.26	1.207	5.665	13.30	9.756	9.894	8.364	9.689	11.19	11.60	13.64	11.90	10.74	9.923	11.55	8.630	11.89	4.051	2.915	10.59	11.93	11.10	11.14	12.68	9.336	12.05	10.81	11.60	10.59	10.42	10.74	11.27	12.14	11.23	11.18	10.06	10.82	5.189	11.17	11.92	11.67	10.13	9.999	11.05	9.079	8.251	10.55	11.22	12.01	8.234	7.123	11.43	10.70	11.39	11.55	10.94	12.43	13.02	10.91	10.28	10.83	11.70	12.13	11.17	11.19	10.58	10.04	9.109	13.19	0.000	0.000	8.162	9.998	10.19	10.63	9.913	9.950	7.909	11.07	12.42	9.890	0.000	11.33	11.88	10.14	0.000	9.535	8.420	1.207	12.16	10.48	10.74	11.42	11.74	11.56	6.471	11.45	5.773	10.50	10.43	10.14	6.554	10.55	11.49	11.15	11.44	9.192	10.18	12.10	4.832
GTEX-RU72-0126-SM-2TF6Z	GTEX-RU72-0126-SM-2TF6Z	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	17.04	16.24	12.60	13.51	11.73	14.42	9.397	6.302	2.806	12.87	8.549	10.87	0.000	7.347	12.78	11.16	10.10	9.109	10.65	11.32	12.58	13.30	8.203	12.21	7.137	12.30	8.926	11.47	5.760	0.000	10.15	12.07	10.74	10.78	12.35	8.877	11.94	11.23	12.65	10.81	10.00	10.39	11.72	11.81	11.48	10.99	9.918	11.81	6.410	11.38	11.99	10.92	11.04	9.800	11.43	8.590	8.143	9.977	10.98	11.43	3.203	9.000	11.16	10.85	11.20	12.23	11.78	12.80	12.99	11.31	9.611	11.03	11.66	12.60	10.76	11.44	10.30	10.91	10.85	11.26	0.000	0.000	9.272	10.82	10.05	9.781	9.683	9.959	7.506	10.86	12.71	10.44	1.584	10.34	11.31	9.930	0.000	9.175	8.902	0.000	12.44	11.27	10.20	11.12	11.78	11.88	5.831	11.45	7.482	10.40	9.034	10.33	5.929	10.29	12.64	11.93	10.99	9.061	10.23	12.76	5.207
GTEX-11DXY-0426-SM-5H12R	GTEX-11DXY-0426-SM-5H12R	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	17.01	15.87	12.71	14.07	11.34	14.81	10.74	4.473	1.123	13.67	8.883	11.17	0.000	7.029	13.18	11.24	10.94	8.003	10.55	12.08	12.14	13.37	12.56	13.44	7.384	12.01	9.808	11.62	5.820	2.514	10.33	11.92	11.06	10.77	11.94	9.600	12.46	11.10	12.82	10.60	10.24	10.59	11.67	12.21	11.65	10.68	9.991	11.40	5.985	10.94	11.66	11.04	10.73	9.936	11.55	8.850	8.349	10.38	11.43	10.01	5.575	7.959	11.04	10.42	11.44	11.85	11.35	12.31	13.47	11.64	10.00	11.00	11.90	12.73	11.57	12.05	10.16	10.40	9.955	12.22	6.183	0.000	8.943	9.587	10.50	10.61	9.546	9.357	8.326	10.07	12.92	9.836	0.000	11.24	11.93	10.28	0.000	10.12	7.584	2.514	12.34	11.19	11.30	11.55	11.60	11.67	7.029	11.20	6.906	11.21	9.178	10.65	6.757	10.37	11.35	10.70	11.25	9.455	9.828	12.98	8.674
GTEX-13VXU-0826-SM-5KLZ2	GTEX-13VXU-0826-SM-5KLZ2	GTEX	GTEX Thyroid	Normal Tissue	Thyroid	16.99	16.72	12.27	13.74	11.54	15.88	7.775	3.459	0.000	14.28	8.388	10.63	0.000	6.733	13.36	9.642	11.01	8.200	10.73	12.58	12.47	12.79	12.13	13.88	5.644	12.43	8.508	11.35	5.452	1.585	10.54	12.05	11.06	10.88	11.65	9.302	12.74	11.53	12.37	10.66	10.16	10.58	11.85	12.06	11.59	10.02	9.890	11.41	4.825	11.28	11.77	11.05	11.17	9.798	11.38	8.710	8.150	10.51	11.58	10.05	8.501	7.498	11.19	10.75	11.20	12.27	11.57	12.56	12.72	11.49	10.10	11.20	12.09	12.83	11.23	11.54	9.951	11.21	9.031	11.48	0.000	0.000	8.366	8.170	10.28	10.19	9.702	9.379	8.530	10.08	12.47	9.594	0.000	8.830	11.80	10.21	0.000	9.457	4.807	2.000	12.14	11.39	10.22	11.75	12.25	11.51	5.781	11.57	8.033	11.21	9.760	10.63	6.570	10.29	10.83	12.09	11.43	8.937	9.835	13.04	8.414
